"Anything additional, unusual, or interesting to note?",Timestamp,Coder's Initials,Journal Name,Does the journal publish empirical research?,Check the article types page and check for web comments — does the journal offer any type of PPC?,A. Enter the name of the PPC type offered by the journal:,A. Enter the verbatim description of this type of PPC provided by the journal,A. Are there any length limits for this type of PPC?,A. Are there any time limits for submission of this type of PPC?,A. Are there any reference limits for this type of PPC?,A. Is this type of PPC sent for independent external peer review?,"A. Anything additional, unusual, or interesting to note?",A. Are there any other types of PPC in this journal? (Remember to check for web comments!),B. Enter the name of the PPC type offered by the journal:,B. Enter the verbatim description of this type of PPC provided by the journal,B. Are there any length limits for this type of PPC?,B. Are there any time limits for submission of this type of PPC?,B. Are there any reference limits for this type of PPC?,B. Is this type of PPC sent for independent external peer review?,"B. Anything additional, unusual, or interesting to note?",B. Are there any other types of PPC in this journal? (Remember to check for web comments!),C. Enter the name of the PPC type offered by the journal:,C. Enter the verbatim description of this type of PPC provided by the journal,C. Are there any length limits for this type of PPC?,C. Are there any time limits for submission of this type of PPC?,C. Are there any reference limits for this type of PPC?,C. Is this type of PPC sent for independent external peer review?,"C. Anything additional, unusual, or interesting to note?",C. Are there any other types of PPC in this journal? (Remember to check for web comments!),D. Enter the name of the PPC type offered by the journal:,D. Enter the verbatim description of this type of PPC provided by the journal,D. Are there any length limits for this type of PPC?,D. Are there any time limits for submission of this type of PPC?,D. Are there any reference limits for this type of PPC?,D. Is this type of PPC sent for independent external peer review?,"D. Anything additional, unusual, or interesting to note?",...38,...39,...40,...41,...42,...43,...44,...45,sample_id,cope,field,jif
NA,7/11/2023 18:45:33,AW,OCCUPATIONAL HEALTH SCIENCE,Yes,YES,Alternate Formats,"""Dialogues/Debates over contemporary theoretical/practical/methodological issues."" Represents one type of 'Alternate Format' that is accepted, could encompass PPC.","UNCLEAR (provide detail in the 'other' section below), 6000-7000 words maximum although shorter and longer submissions will be considered as appropriate to the aims of the article.",NOT STATED,NOT STATED,NOT STATED,"""recommended word counts include the main body of the paper, not title page, abstract, references, tables, figures, etc. The word counts are considered general guidelines for each type of paper rather than strictly enforced limits.""",NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Applied",NA
"Contains the same bioler plate Springer text, as I previously noted for another journal ""Research articles and non-research articles (e.g. Opinion, Review, and Commentary articles)""",8/6/2023 4:03:05,RTT,OCCUPATIONAL HEALTH SCIENCE,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Applied",NA
NA,NA,FINAL (TEH),OCCUPATIONAL HEALTH SCIENCE,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Applied",NA
NA,7/13/2023 13:58:07,AW,ORGANIZATIONAL DYNAMICS,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Applied",1.133
NA,NA,FINAL (TEH),ORGANIZATIONAL DYNAMICS,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Applied",1.133
NA,7/10/2023 18:29:11,AW,PERCEPTUAL AND MOTOR SKILLS,Yes,YES,Letter,na,NOT STATED,NOT STATED,NOT STATED,NOT STATED,"Not listed as article type. Only found through archive search (2019-2023), recent PPC example: https://doi.org/10.1177/0031512520949712",NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Experimental",2.212
NA,8/4/2023 8:19:45,RTT,PERCEPTUAL AND MOTOR SKILLS,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Experimental",2.212
NA,NA,FINAL (TEH),PERCEPTUAL AND MOTOR SKILLS,Yes,ARCHIVE ONLY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Experimental",2.212
NA,7/11/2023 18:03:12,AW,PERSONNEL REVIEW,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Applied",3.228
NA,8/29/2023 16:05:42,SV,PERSONNEL REVIEW,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Applied",3.228
NA,NA,FINAL (TEH),PERSONNEL REVIEW,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Applied",3.228
NA,7/10/2023 18:38:04,AW,POLITICAL PSYCHOLOGY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Social",4.804
NA,8/4/2023 8:23:35,RTT,POLITICAL PSYCHOLOGY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Social",4.804
NA,NA,FINAL (TEH),POLITICAL PSYCHOLOGY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Social",4.804
NA,7/13/2023 12:04:24,AW,PSIHOLOGIJA,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Multidisciplinary",1.234
NA,8/8/2023 15:35:21,SV,PSIHOLOGIJA,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Multidisciplinary",1.234
NA,NA,FINAL (TEH),PSIHOLOGIJA,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Multidisciplinary",1.234
NA,7/6/2023 14:12:48,AW,PSYCH JOURNAL,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Multidisciplinary",1.559
NA,8/8/2023 15:48:40,SV,PSYCH JOURNAL,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Multidisciplinary",1.559
NA,NA,FINAL (TEH),PSYCH JOURNAL,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Multidisciplinary",1.559
I have coded this as 'no PPC' because the website indicates that critical commentaries are solicited by the editor.,7/3/2023 19:01:46,NM,PSYCHOLOGICAL INJURY & LAW,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Clinical",NA
"""When warranted, the Editors will solicit other papers such as critical commentaries, debates, exchanges, replies to published articles, and case studies.""",8/8/2023 13:58:07,SV,PSYCHOLOGICAL INJURY & LAW,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Clinical",NA
NA,NA,FINAL (TEH),PSYCHOLOGICAL INJURY & LAW,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Clinical",NA
NA,7/13/2023 14:20:15,AW,PSYCHOLOGICAL STUDIES,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Multidisciplinary",NA
NA,8/8/2023 15:44:22,SV,PSYCHOLOGICAL STUDIES,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Multidisciplinary",NA
NA,NA,FINAL (TEH),PSYCHOLOGICAL STUDIES,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Multidisciplinary",NA
Only implied through Scope,7/11/2023 12:15:35,AW,PSYCHOLOGY & SEXUALITY,Yes,YES,na,"Under ""Editorial policy"" on Scope page: ""... controversial articles are acceptable, subject to the usual peer-review criteria, and debate within the journal – replies and rebuttals – are encouraged.""",NOT STATED,NOT STATED,NOT STATED,NOT STATED,"Archive search (2019-2023) using terms ""comment"", ""letter"", ""response"", or ""reply"" did not return any PPC examples.",NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Multidisciplinary",2.344
NA,8/4/2023 8:33:19,RTT,PSYCHOLOGY & SEXUALITY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Multidisciplinary",2.344
NA,NA,FINAL (TEH),PSYCHOLOGY & SEXUALITY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Multidisciplinary",2.344
NA,7/6/2023 14:04:15,AW,RESEARCH IN HUMAN DEVELOPMENT,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Development",4.154
NA,8/8/2023 15:47:16,SV,RESEARCH IN HUMAN DEVELOPMENT,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Development",4.154
NA,NA,FINAL (TEH),RESEARCH IN HUMAN DEVELOPMENT,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Development",4.154
NA,7/11/2023 19:48:59,AW,RESIDENTIAL TREATMENT FOR CHILDREN & YOUTH,Yes,YES,letters to the editors,"Commentaries, letters to the editors, book reviews, or position papers will be considered and are not subject to peer-review.",NOT STATED,NOT STATED,NOT STATED,NO,"No further details given on this article type.

NOTE: While ""commentaries"" are listed as accepted an archive search using term ""comment"" produced 3 commentaries, none of which were PPC. Appears to be more for discussing general topics. Therefore, decided not to include as an additional PPC type.",NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Clinical",NA
"The instructions for authors webpage says they only have 2 article types (neither are PPC). But it later says ""Commentaries, letters to the editors, book reviews, or position papers will be considered and are not subject to peer-review. """,8/6/2023 4:15:29,RTT,RESIDENTIAL TREATMENT FOR CHILDREN & YOUTH,Yes,YES,Commentaries,"Commentaries, letters to the editors, book reviews, or position papers will be considered and are not subject to peer-review. Please contact the Editor Bethany Lee ( blee@ssw.umaryland.edu) prior to submitting.",NOT STATED,NOT STATED,NOT STATED,NOT STATED,NA,YES (opens another page),letters to the editors,"Commentaries, letters to the editors, book reviews, or position papers will be considered and are not subject to peer-review. Please contact the Editor Bethany Lee ( blee@ssw.umaryland.edu) prior to submitting.",NOT STATED,NOT STATED,NOT STATED,NOT STATED,NA,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Clinical",NA
NA,NA,FINAL (TEH),RESIDENTIAL TREATMENT FOR CHILDREN & YOUTH,Yes,YES,letters to the editors,"Commentaries, letters to the editors, book reviews, or position papers will be considered and are not subject to peer-review.",NOT STATED,NOT STATED,NOT STATED,NO,"No further details given on this article type.

NOTE: While ""commentaries"" are listed as accepted an archive search using term ""comment"" produced 3 commentaries, none of which were PPC. Appears to be more for discussing general topics. Therefore, decided not to include as an additional PPC type.",NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Clinical",NA
"Despite the name as included in the journal list, this journal does publish in English.",7/3/2023 18:29:52,NM,REVISTA IBEROAMERICANA DE PSICOLOGIA DEL EJERCICIO Y EL DEPORTE,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Applied",NA
"Articles are published in Spanish, Portugese, and English (so I think still meets our inclusion criteria)",8/8/2023 13:56:53,SV,REVISTA IBEROAMERICANA DE PSICOLOGIA DEL EJERCICIO Y EL DEPORTE,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Applied",NA
NA,NA,FINAL (TEH),REVISTA IBEROAMERICANA DE PSICOLOGIA DEL EJERCICIO Y EL DEPORTE,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Applied",NA
NA,7/11/2023 12:50:28,AW,SCHIZOPHRENIA RESEARCH-COGNITION,Yes,YES,letters to the editor,na,"UNCLEAR (provide detail in the 'other' section below), UNSURE if these restrictions apply to letters:""Short Communications: Structure: One body of text with no sub-titles Abstract: 250 words or none Total Word Limit: 1,500 words""",NOT STATED,NOT STATED,NOT STATED,"""Reviews and Letters will be published at no charge ""

No description of letters given, no examples found. Link to journal website for more info appears broken.",NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Experimental",NA
NA,8/29/2023 15:46:49,SV,SCHIZOPHRENIA RESEARCH-COGNITION,Yes,YES,letters to the editor,"The journal publishes original articles, concise research
reports, brief reports, letters to the editor, and review papers.",NOT STATED,NOT STATED,NOT STATED,NOT STATED,Not even clear that this is a PPC,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very unclear,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Experimental",NA
NA,NA,FINAL (TEH),SCHIZOPHRENIA RESEARCH-COGNITION,Yes,YES,letters to the editor,"The journal publishes original articles, concise research
reports, brief reports, letters to the editor, and review papers.",NOT STATED,NOT STATED,NOT STATED,NOT STATED,Not even clear that this is a PPC,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very unclear,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Experimental",NA
NA,7/17/2023 17:30:07,AW,SCHOOL PSYCHOLOGY INTERNATIONAL,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Educational",2.056
NA,7/28/2023 12:21:47,TEH,SCHOOL PSYCHOLOGY INTERNATIONAL,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Educational",2.056
NA,NA,FINAL (TEH),SCHOOL PSYCHOLOGY INTERNATIONAL,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Educational",2.056
NA,7/11/2023 15:10:40,AW,SOCIAL PSYCHOLOGY QUARTERLY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Social",2.163
NA,8/4/2023 8:43:18,RTT,SOCIAL PSYCHOLOGY QUARTERLY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Social",2.163
NA,NA,FINAL (TEH),SOCIAL PSYCHOLOGY QUARTERLY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Social",2.163
NA,7/20/2023 15:51:15,NM,SPATIAL COGNITION AND COMPUTATION,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Experimental",1.533
NA,7/28/2023 11:51:52,TEH,SPATIAL COGNITION AND COMPUTATION,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Experimental",1.533
NA,NA,FINAL (TEH),SPATIAL COGNITION AND COMPUTATION,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Experimental",1.533
NA,7/6/2023 14:30:31,AW,STUDIES IN EDUCATIONAL EVALUATION,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Educational",2.704
NA,8/8/2023 15:51:23,SV,STUDIES IN EDUCATIONAL EVALUATION,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Educational",2.704
NA,NA,FINAL (TEH),STUDIES IN EDUCATIONAL EVALUATION,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Educational",2.704
"There is an accepted article type called 'Text review' which allows authors to ""discuss, criticize or complement articles related to the subject of the monographic issue"". I haven't interpreted this as PPC, as it doesn't seem to allow critical discourse of previously published articles. However, I might not have made the right call here.",7/27/2023 10:44:24,NM,STUDIES IN PSYCHOLOGY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Multidisciplinary",NA
Unsure if this counts,8/8/2023 15:40:08,SV,STUDIES IN PSYCHOLOGY,Yes,YES,Text review,"""Text review. They may discuss, criticize or complement articles related to the subject of the monographic issue, both for current texts or classic texts that have not been translated into Spanish or English. Maximum length: 1100 words. No more than 5 references, and 1 Figure or Table, may be included.""","YES (copy and paste the limits in the 'other' section below), Maximum length: 1100 words.",NOT STATED,"YES (provide number of references below), No more than 5 references",NOT STATED,I'm not sure this should count,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Multidisciplinary",NA
NA,NA,FINAL (TEH),STUDIES IN PSYCHOLOGY,Yes,YES,Text review,"""Text review. They may discuss, criticize or complement articles related to the subject of the monographic issue, both for current texts or classic texts that have not been translated into Spanish or English. Maximum length: 1100 words. No more than 5 references, and 1 Figure or Table, may be included.""","YES (copy and paste the limits in the 'other' section below), Maximum length: 1100 words.",NOT STATED,"YES (provide number of references below), No more than 5 references",NOT STATED,I'm not sure this should count,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Multidisciplinary",NA
NA,6/30/2023 18:02:54,NM,SUICIDOLOGY ONLINE-SOL,Yes,YES,Letters to the Editors,N/A,NO,NOT STATED,NOT STATED,"UNCLEAR (provide detail in the 'other' section below), The website states: ""All articles are subject to peer-review. Occasionally, invited Letters, Essays or Reviews may not be subject to external peer-review."" This perhaps implies that non-invited letters ARE sent for external review.","There is no detail provided on the website about the kinds of manuscripts accepted for publication, only the names of the manuscript types. It may be that 'Commentaries' are another potential form of PPC, but with no detail provided I have just included this one PPC type of 'Letters to the Editors'.",NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Multidisciplinary",NA
